,nome,cognome,nascita,osm_id,Unnamed: 4,data_nascita,c_nome,c_cognome,anno_nascita,mese_nascita,genere,giorno_nascita,num_giorno,cod_fisc,num,year_built,total_floors,code,fclass,name,type,area
0,Mario,Rossi,A001,14261499,,2001-04-10 21:17:17.098038,MR,RSS,01,D,0,10,10,RSSMR01D10A001,75,1909,8,1500,building,Laboratorio Innovazione Breda,office,810
1,Francesco,Ferrari,A004,22736136,,1999-02-11 21:17:17.098038,FRNCSC,FRRR,99,B,40,11,51,FRRRFRNCSC99B51A004,37,1908,8,1500,building,,,1129
2,Giulia,Esposito,A005,22736137,,1970-11-18 21:17:17.098038,GL,SPST,70,S,0,18,18,SPSTGL70S18A005,8,1905,6,1500,building,,,762
3,Leonardo,Bianchi,A006,22736138,,1967-01-04 21:17:17.098038,LNRD,BNCH,67,A,0,4,4,BNCHLNRD67A4A006,37,1915,6,1500,building,,,1172
4,Chiara,Romano,A007,22736139,,1981-09-19 21:17:17.098038,CHR,RMN,81,P,40,19,59,RMNCHR81P59A007,84,1926,5,1500,building,,,1064
5,Luca,Colombo,A008,23154089,,1994-03-05 21:17:17.098038,LC,CLMB,94,C,40,5,45,CLMBLC94C45A008,31,1935,8,1500,building,U14 â DISCo â Dipartimento di Informatica Sistemistica e Comunicazione,university,1375
6,Martina,Ricci,A010,25332896,,1981-06-18 21:17:17.098038,MRTN,RCC,81,H,0,18,18,RCCMRTN81H18A010,31,1915,9,1500,building,,retail,3065
7,Lorenzo,Marino,M376,25332965,,1986-09-29 21:17:17.098038,LRNZ,MRN,86,P,0,29,29,MRNLRNZ86P29M376,52,1986,9,1500,building,,industrial,9096
8,Aurora,Greco,A013,25332966,,1978-03-12 21:17:17.098038,RR,GRC,78,C,40,12,52,GRCRR78C52A013,58,1916,4,1500,building,,industrial,8126
9,Andrea,Bruno,A014,25333121,,1984-06-20 21:17:17.098038,NDR,BRN,84,H,40,20,60,BRNNDR84H60A014,25,1985,9,1500,building,"Grand Hotel Villa Torretta Milan Sesto, Curio Collection by Hilton",,2793
10,Alice,Gallo,A015,25894577,,1964-01-16 21:17:17.098038,LC,GLL,64,A,0,16,16,GLLLC64A16A015,39,1925,5,1500,building,,,3154
11,Matteo,Conti,A016,25941770,,1979-02-01 21:17:17.098038,MTT,CNT,79,B,0,1,1,CNTMTT79B1A016,98,2018,4,1500,building,,public,1706
12,Emma,De Luca,A017,26273153,,1991-07-30 21:17:17.098038,MM,DLC,91,L,0,30,30,DLCMM91L30A017,28,2017,5,1500,building,PalaSesto,stadium,3630
13,Gabriele,Costa,A018,26433713,,1984-03-24 21:17:17.098038,GBRL,CST,84,C,0,24,24,CSTGBRL84C24A018,81,1930,7,1500,building,,retail,2851
14,Greta,Mancini,A019,27654509,,1992-08-05 21:17:17.098038,GRT,MNCN,92,M,0,5,5,MNCNGRT92M5A019,93,1941,7,1500,building,,train_station,2113
15,Alessandro,Rizzo,A020,27655307,,1990-11-30 21:17:17.098038,LSSNDR,RZZ,90,S,40,30,70,RZZLSSNDR90S70A020,67,1973,3,1500,building,Sesto 1Âº Maggio FS M1,no,5082
16,Giorgia,Lombardi,A023,31029911,,1973-11-13 21:17:17.098038,GRG,LMBRD,73,S,40,13,53,LMBRDGRG73S53A023,13,1975,3,1500,building,,industrial,13134
