osm_id,nome,cognome,data_nascita,cod_fisc
0,Mario,Rossi,2001-04-10 21:17:17.098038,RSSMR01D10A001
1,Francesco,Ferrari,1999-02-11 21:17:17.098038,FRRRFRNCSC99B51A004
2,Giulia,Esposito,1970-11-18 21:17:17.098038,SPSTGL70S18A005
3,Leonardo,Bianchi,1967-01-04 21:17:17.098038,BNCHLNRD67A4A006
4,Chiara,Romano,1981-09-19 21:17:17.098038,RMNCHR81P59A007
5,Luca,Colombo,1994-03-05 21:17:17.098038,CLMBLC94C45A008
6,Martina,Ricci,1981-06-18 21:17:17.098038,RCCMRTN81H18A010
7,Lorenzo,Marino,1986-09-29 21:17:17.098038,MRNLRNZ86P29M376
8,Aurora,Greco,1978-03-12 21:17:17.098038,GRCRR78C52A013
9,Andrea,Bruno,1984-06-20 21:17:17.098038,BRNNDR84H60A014
10,Alice,Gallo,1964-01-16 21:17:17.098038,GLLLC64A16A015
11,Matteo,Conti,1979-02-01 21:17:17.098038,CNTMTT79B1A016
12,Emma,De Luca,1991-07-30 21:17:17.098038,DLCMM91L30A017
13,Gabriele,Costa,1984-03-24 21:17:17.098038,CSTGBRL84C24A018
14,Greta,Mancini,1992-08-05 21:17:17.098038,MNCNGRT92M5A019
15,Alessandro,Rizzo,1990-11-30 21:17:17.098038,RZZLSSNDR90S70A020
16,Giorgia,Lombardi,1973-11-13 21:17:17.098038,LMBRDGRG73S53A023
17,Giuseppe,Moretti,2003-04-11 21:17:17.098038,MRTTGSPP03D11A024
18,Valentina,Barbieri,1974-02-23 21:17:17.098038,BRBRVLNTN74B23A025
19,Edoardo,Fontana,1977-10-27 21:17:17.098038,FNTNDRD77R27A026
20,Elena,Santoro,1993-09-08 21:17:17.098038,SNTRLN93P8A027
21,Giovanni,Mariani,1967-09-30 21:17:17.098038,MRNGVNN67P70A029
22,Beatrice,Rinaldi,1964-02-10 21:17:17.098038,RNLDBTRC64B50A028
23,Davide,Caruso,1968-01-18 21:17:17.098038,CRSDVD68A18A032
24,Giuliana,Ferrara,2001-02-28 21:17:17.098038,FRRRGLN01B68A033
25,Federico,Galli,2003-10-10 21:17:17.098038,GLLFDRC03R50A034
26,Sara,Martini,1988-09-21 21:17:17.098038,MRTNSR88P21A035
27,Alessio,Leone,1989-09-06 21:17:17.098038,LNLSS89P46A039
28,Eleonora,Gatti,2000-03-31 21:17:17.098038,GTTLNR00C31A038
29,Antonio,Bianco,1989-10-19 21:17:17.098038,BNCNTN89R59A040
30,Vittoria,Fabbri,1975-08-06 21:17:17.098038,FBBRVTTR75M6A041
31,Tommaso,Sartori,1980-12-01 21:17:17.098038,SRTRTMMS80T1A043
32,Francesca,Monti,1993-01-24 21:17:17.098038,MNTFRNCSC93A24A044
33,Simone,Villa,1981-06-07 21:17:17.098038,VLLSMN81H47A045
34,Carolina,Amato,2001-09-18 21:17:17.098038,MTCRLN01P58A050
35,Marco,Marini,1969-01-04 21:17:17.098038,MRNMRC69A4A051
36,Chiaretta,De Santis,1978-11-20 21:17:17.098038,DSNTSCHRTT78S20A048
37,Filippo,Palumbo,1987-12-24 21:17:17.098038,PLMBFLPP87T24A047
38,Teresa,Bernardi,1981-03-22 21:17:17.098038,BRNRDTRS81C22A049
39,Michele,Fiore,1984-10-03 21:17:17.098038,FRMCHL84R3M211
40,Angelica,Farina,1989-06-12 21:17:17.098038,FRNNGLC89H12A052
41,Mattia,Ferri,1990-10-14 21:17:17.098038,FRRMTT90R14A053
42,Caterina,Pellegrini,2004-12-19 21:17:17.098038,PLLGRNCTRN04T59A054
43,Stefano,Damico,1994-10-18 21:17:17.098038,DMCSTFN94R58A055
44,Ludovica,Basile,1972-11-24 21:17:17.098038,BSLLDVC72S24A056
45,Christian,Rossetti,2005-01-17 21:17:17.098038,RSSTTCHRSTN05A57A057
46,Irene,Graziani,1996-12-05 21:17:17.098038,GRZNRN96T5A058
47,Niccolò,Palmieri,1974-04-10 21:17:17.098038,PLMRNCCL74D50A059
48,Rebecca,Donati,1994-02-11 21:17:17.098038,DNTRBCC94B11A060
49,Raffaele,Battaglia,1990-04-14 21:17:17.098038,BTTGLRFFL90D14A061
50,Elisa,Martino,1979-11-18 21:17:17.098038,MRTNLS79S18A062
51,Daniele,Rizzi,2003-01-22 21:17:17.098038,RZZDNL03A62A064
52,Veronica,Neri,1981-08-02 21:17:17.098038,NRVRNC81M2A065
53,Fabio,Vitale,1985-10-06 21:17:17.098038,VTLFB85R6A067
54,Gloria,De Angelis,1965-12-03 21:17:17.098038,DNGLSGLR65T3A068
55,Paolo,Serra,1990-04-27 21:17:17.098038,SRRPL90D27A069
56,Benedetta,Coppola,1980-01-29 21:17:17.098038,CPPLBNDTT80A29A070
57,Enrico,Testa,1967-02-18 21:17:17.098038,TSTNRC67B58A071
58,Adelaide,Piazza,1994-04-19 21:17:17.098038,PZZDLD94D59A072
59,Manuel,Ferraro,1970-07-22 21:17:17.098038,FRRRMNL70L62A074
60,Rosanna,Valentini,1987-08-02 21:17:17.098038,VLNTNRSNN87M42H848
61,Vincenzo,Bianchini,1992-01-30 21:17:17.098038,BNCHNVNCNZ92A70A075
62,Marika,Benedetti,1984-06-29 21:17:17.098038,BNDTTMRK84H29A076
63,Valerio,Parisi,1981-03-21 21:17:17.098038,PRSVLR81C61A077
64,Marta,Sacco,1986-01-09 21:17:17.098038,SCCMRT86A9A080
65,Cristiano,De Rosa,1968-08-03 21:17:17.098038,DRSCRSTN68M43A082
66,Isabella,Ferretti,2000-11-30 21:17:17.098038,FRRTTSBLL00S30A083
67,Michele,Morelli,1980-07-14 21:17:17.098038,MRLLMCHL80L14A084
68,Angelina,Russo,2001-10-11 21:17:17.098038,RSSNGLN01R51A085
69,Massimo,Contini,2002-12-27 21:17:17.098038,CNTNMSSM02T67A087
