nome;cognome;nascita;osm_id;
Mario;Rossi;A001;14261499;
Francesco;Ferrari;A004;22736136;
Giulia;Esposito;A005;22736137;
Leonardo;Bianchi;A006;22736138;
Chiara;Romano;A007;22736139;
Luca;Colombo;A008;23154089;
Martina;Ricci;A010;25332896;
Lorenzo;Marino;M376;25332965;
Aurora;Greco;A013;25332966;
Andrea;Bruno;A014;25333121;
Alice;Gallo;A015;25894577;
Matteo;Conti;A016;25941770;
Emma;De Luca;A017;26273153;
Gabriele;Costa;A018;26433713;
Greta;Mancini;A019;27654509;
Alessandro;Rizzo;A020;27655307;
Giorgia;Lombardi;A023;31029911;
Giuseppe;Moretti;A024;38558925;
Valentina;Barbieri;A025;41956450;
Edoardo;Fontana;A026;41963283;
Elena;Santoro;A027;41963284;
Giovanni;Mariani;A029;41963285;
Beatrice;Rinaldi;A028;41963286;
Davide;Caruso;A032;41963287;
Giuliana;Ferrara;A033;41963288;
Federico;Galli;A034;59243220;
Sara;Martini;A035;74171820;
Alessio;Leone;A039;74171822;
Eleonora;Gatti;A038;74171824;
Antonio;Bianco;A040;74171825;
Vittoria;Fabbri;A041;76095500;
Tommaso;Sartori;A043;76095504;
Francesca;Monti;A044;76095506;
Simone;Villa;A045;76095508;
Carolina;Amato;A050;76095509;
Marco;Marini;A051;76095510;
Chiaretta;De Santis;A048;76095511;
Filippo;Palumbo;A047;76095512;
Teresa;Bernardi;A049;76095513;
Michele;Fiore;M211;76123863;
Angelica;Farina;A052;76123864;
Mattia;Ferri;A053;76123867;
Caterina;Pellegrini;A054;76123869;
Stefano;Damico;A055;76123870;
Ludovica;Basile;A056;76123873;
Christian;Rossetti;A057;76123874;
Irene;Graziani;A058;76123879;
Niccolò;Palmieri;A059;76123885;
Rebecca;Donati;A060;76123887;
Raffaele;Battaglia;A061;76123889;
Elisa;Martino;A062;76123893;
Daniele;Rizzi;A064;76123897;
Veronica;Neri;A065;76123900;
Fabio;Vitale;A067;76123902;
Gloria;De Angelis;A068;76131018;
Paolo;Serra;A069;76131019;
Benedetta;Coppola;A070;76953925;
Enrico;Testa;A071;77385830;
Adelaide;Piazza;A072;77753684;
Manuel;Ferraro;A074;77753686;
Rosanna;Valentini;H848;77753687;
Vincenzo;Bianchini;A075;77753689;
Marika;Benedetti;A076;77753690;
Valerio;Parisi;A077;77753691;
Marta;Sacco;A080;77753692;
Cristiano;De Rosa;A082;77753693;
Isabella;Ferretti;A083;77753696;
Michele;Morelli;A084;77753698;
Angelina;Russo;A085;77753699;
Massimo;Contini;A087;77765740;
Benedetta;Mazzoli;A088;77765741;
Renato;Colombo;A089;77765742;
Bianca;Mancini;A091;77765745;
Salvatore;Rosati;A092;77765746;
Carlotta;De Luca;A093;77765747;
Giulio;Costa;A096;77767795;
Letizia;Gallo;A097;77917810;
Pietro;Santoro;A098;77917811;
Roberta;Caputo;A100;77917814;
Giorgio;D'Angelo;A102;77917816;
Alessia;Benedetto;A103;77917817;
Danilo;Marchetti;A101;78067076;
Elena;D'Amico;A105;78067077;
Umberto;Moretti;A106;78067078;
Aurora;Silvestri;A107;78067079;
Fernando;Rinaldi;A109;78067080;
Giuliana;Montanari;A110;78473944;
Dario;Caruso;A111;78473945;
Ginevra;Gatti;A112;78473947;
Rocco;Battaglia;A113;78473948;
Carlotta;Silvestri;A116;78473949;
Gino;Palumbo;A117;78473950;
Eleonora;Fiore;A115;78473951;
Renzo;Sartori;A118;80458278;
Serena;Damico;A119;80458279;
Dante;Villa;A120;80458280;
Gabriella;Coppola;A121;80458281;
Giosuè;Farina;A122;80458282;
Giovanna;Lombardo;A123;80458284;
Marcello;Mariani;A124;80458286;
Giada;Ferri;A125;80458287;
Achille;Monti;A126;80458290;
Lucrezia;Neri;A127;80458291;
Agostino;Pellegrini;A128;80458292;
Tiziana;Basile;A131;80458294;
Alfonso;Rossetti;A132;81647440;
Rachele;Graziani;A129;81648354;
Armando;Palmieri;A130;81648356;
Teresa;Donati;A134;81648357;
Augusto;Martino;A137;81648365;
Antonella;Rizzi;A135;81648368;
Brando;Vitale;A138;81648369;
Paola;De Angelis;A139;81648371;
Calogero;Serra;A143;95111049;
Livia;Testa;A145;95111419;
Carmelo;Piazza;A146;96071977;
Noemi;Ferraro;A149;96071978;
Ciro;Valentini;A150;96071981;
Ambra;Bianchini;A153;96071982;
Costantino;Benedetti;A154;96071983;
Arianna;Parisi;A155;96071984;
Damiano;Sacco;A158;96071985;
Celeste;De Rosa;A157;96071986;
Daniele;Ferretti;A159;96071987;
Donatella;Morelli;A160;96071988;
Domenico;Lombardi;A161;96071989;
Elettra;Russo;A162;96071991;
Emidio;Contini;A163;96071992;
Emanuela;Mazzoli;A164;96071994;
Emilio;Rosati;A166;96071995;
Fiorella;De Luca;A165;96071997;
Ercole;Costa;A167;96071998;
Flavia;Gallo;A171;96071999;
Ernesto;Santoro;A172;96072000;
Francesca;Caputo;A173;96072002;
Ezio;D'Angelo;A175;96072003;
Gaia;Benedetto;A176;96072004;
Fabiano;Marchetti;A177;96072005;
Gilda;D'Amico;A178;96072006;
Fabrizio;Moretti;A179;96072007;
Grazia;Silvestri;A180;96072008;
Federico;Rinaldi;A182;96072009;
Ilaria;Montanari;A183;96072010;
Ferruccio;Caruso;A181;96072011;
Imma;Gatti;A184;96072012;
Filippo;Battaglia;A185;96072013;
Jolanda;Silvestri;A186;96072014;
Fortunato;Palumbo;A187;96072017;
Letizia;Fiore;A188;96072018;
Fulvio;Sartori;A189;96072021;
Loredana;Damico;A191;96072023;
Gavino;Villa;A192;96072024;
Maddalena;Coppola;A193;96072025;
Gennaro;Farina;A194;96072026;
Marcella;Lombardo;A201;96072027;
Gerardo;De Santis;A195;96072028;
Maria;Bernardi;A196;96072029;
Giacomo;Fiore;A197;96072032;
Marilena;Mancini;A198;96072033;
Giancarlo;Rizzo;A200;96072035;
Marina;Mariani;A202;96072036;
Gianluca;Carbone;A203;96072037;
Maura;Ruggiero;A204;96072038;
Gianmarco;Sorrentino;A206;96072039;
Milena;Ferro;A205;96072041;
Gianpaolo;Fabbri;A207;96073674;
Miranda;Napolitano;A208;96073682;
Giordano;Bianco;A210;96073683;
Monica;Russo;M397;96073686;
Giosuè;Moretti;A214;96073689;
Nadia;Martinelli;A216;96073690;
Giuliano;Riva;A217;96073694;
Natalia;Guerra;A218;96073696;
Giuseppe;De Angelis;A220;96073706;
Nella;Palumbo;M375;96073713;
Graziano;Pagano;A221;96073720;
Nicoletta;Martino;A222;96073730;
Gregorio;Pellegrino;A223;96073732;
Nunzia;Giordano;A224;96073737;
Italo;Testa;M386;96073741;
Oriana;Martini;M383;96073742;
Ivano;Bernardini;A225;96073745;
Patrizia;Messina;A226;96073747;
Jacopo;Pugliese;M349;96073751;
Piera;Esposito;A228;96073753;
Lazzaro;D'Amore;A229;96073754;
Pierina;Pinto;A227;96073762;
Leandro;Benedetti;A230;96073768;
Raffaella;Ferrara;A231;96073769;
Liberato;Rizzo;A233;96075027;
Romina;Longo;A234;96075029;
Lorenzo;Barbieri;A235;114575394;
Rosalba;Amato;A236;114575401;
Luciano;Leone;A237;114575414;
Rosalia;Orlando;A238;114575417;
Luigi;Barone;M369;114577866;
Rossana;Montagna;M389;118232442;
Marco;Caputo;A239;118232445;
Rossella;Rizzo;A240;123702798;
Andrea;Rossati;A241;123702799;
Rosalinda;Bianco;M350;123702800;
Marino;Bruno;A242;123702802;
Sabrina;Caruso;A243;123702804;
Mario;Colombo;A244;123702822;
Serena;Coppola;A246;123702962;
Marzio;Costa;A245;123702964;
Silvana;De Luca;A249;123799314;
Massimiliano;De Santis;A251;123799315;
Silvia;Donati;A252;124446411;
Maurizio;Esposito;A253;124446474;
Simona;Farina;A254;124446709;
Michele;Fabbri;A255;136382833;
Stefania;Ferri;A256;136383024;
Nazzareno;Ferrara;A257;136668831;
Stefania;Ferrari;A258;136668833;
Nazario;Fiore;A259;136668890;
Susanna;Fontana;M351;136669007;
Nicola;Gallo;A261;136669009;
Teresa;Gatti;A262;137231318;
Orazio;Graziani;A263;137231319;
Tiziana;Greco;A264;137231320;
Ottavio;Leone;A265;137231321;
Valentina;Lombardi;A267;137231967;
Pasquale;Mancini;A268;138159739;
Valeria;Mariani;A269;1997272;
Patrizio;Martini;A270;140575277;
Vanessa;Marini;A271;140575278;
Pietro;Marino;A272;140575280;
Vera;Martino;A274;140575282;
Pompeo;Morelli;A273;140575285;
Vittoria;Moretti;A275;140575286;
Primo;Neri;A278;140575287;
Vittoria;Palmieri;A280;140575288;
Prospero;Palumbo;A281;140575289;
Vittoria;Parisi;A282;140575290;
Raffaele;Piazza;A283;140575291;
Vittoria;Pellegrini;A284;140575292;
Raimondo;Rinaldi;A285;140575293;
Vittoria;Riva;A286;140575294;
Raniero;Rizzi;A287;140575295;
Vittoria;Romano;A288;140575296;
Remigio;Rossetti;A290;140575297;
Vittoria;Ruggiero;A291;140575298;
Renato;Russo;A292;140575299;
Vittoria;Sacco;A293;140575300;
Riccardo;Sartori;A294;140575502;
Vittoria;Santoro;A295;140575503;
Roberto;Sorrentino;A297;140575504;
Vittoria;Silvestri;A296;140575505;
Rocco;Testa;A299;140575506;
Vittoria;Valentini;A301;140575507;
Rodolfo;Villa;A302;140575508;
Vittoria;Amato;A303;140575509;
Rocco;Barbieri;A304;140575510;
Vittoria;Basile;A306;140575511;
Rolando;Bernardi;A305;140575512;
Vittoria;Caputo;A309;140581659;
Romano;Carbone;A312;140581664;
Vittoria;Conti;A313;140581665;
Romeo;Coppola;A314;140581667;
Vittoria;Damico;A315;140582040;
Romualdo;De Angelis;A317;140582042;
Vittoria;De Rosa;A318;140582045;
Rosario;De Luca;A319;140582528;
Vittoria;D'Angelo;A320;140582529;
Ruggero;D'Amico;A321;140582759;
Vittoria;D'Amore;A323;140582760;
Salvatore;De Santis;A325;140582761;
Vittoria;Donati;A324;140582762;
Samuele;Farina;A326;140582763;
Vittoria;Ferraro;A327;140584015;
Sandro;Ferro;A328;140584018;
Vittoria;Fontana;A329;140584019;
Santino;Gallo;A330;140584024;
Vittoria;Gatti;A333;140584029;
Santo;Giordano;A332;140584030;
Vittoria;Grassi;A334;140584033;
Sebastiano;Greco;A335;140585317;
Vittoria;Guerra;A337;140585476;
Secondo;Lombardo;A338;140586105;
Vittoria;Longo;A339;140586109;
Sergio;Marino;A340;140586110;
Vittoria;Martini;A341;140586115;
Silvano;Martinelli;A343;140586118;
Vittoria;Mariani;A344;140586960;
Silverio;Mazzola;A346;140586962;
Vittoria;Mazzoli;A347;140586964;
Siro;Messina;A348;140586965;
Vittoria;Montagna;A350;140586967;
Stefano;Montanari;A351;140588154;
Vittoria;Napolitano;A352;140588155;
Taddeo;Pagano;A354;140588156;
Vittoria;Pellegrini;A357;140588157;
Terenzio;Piazza;A358;1913099;
Vittoria;Pinto;A359;140588159;
Tiberio;Pugliese;A360;140588160;
Vittoria;Riva;A363;140588161;
Tiburzio;Rizzi;A365;140588162;
Vittoria;Rizzo;A366;140588163;
Timoteo;Romano;A367;140588164;
Vittoria;Rossetti;A369;140588165;
Tito;Ruggiero;A370;140588166;
Vittoria;Russo;A371;140588167;
Tommaso;Sacco;A372;140588168;
Vittoria;Sartori;A373;140588524;
Tonino;Serra;A374;140588525;
Vittoria;Silvestri;A375;140588526;
Ubaldo;Sorrentino;A376;140588527;
Vittoria;Testa;A377;140588529;
Uberto;Valentini;A379;140588530;
Vittoria;Villa;A380;140588852;
Ugo;Vitale;M213;140589029;
Vittoria;Amato;A382;140589786;
Ulisse;Barbieri;A383;140589788;
Vittoria;Basile;A385;140591013;
Urbano;Bernardi;A386;140591015;
Vittoria;Caputo;A387;140591016;
Valentino;Carbone;A388;140591017;
Vittoria;Conti;A389;140591019;
Valerio;Coppola;A390;140591020;
Vittoria;Damico;A391;140591021;
Vanni;De Angelis;A392;140591022;
Vittoria;De Rosa;A393;140591023;
Vincenzo;De Luca;A394;140591024;
Vittoria;D'Angelo;A396;140591026;
Vitale;D'Amico;A397;140591027;
Vittoria;D'Amore;A398;140591028;
Vittorio;De Santis;A399;140591029;
Vittoria;Donati;A400;140591459;
Vittore;Farina;A401;140592049;
Vittoria;Ferraro;A402;140592050;
Zaccheo;Ferro;A403;140592053;
Vittoria;Fontana;A405;140592098;
Zaccaria;Gallo;A407;140592100;
Vittoria;Gatti;A409;140592101;
Zeno;Giordano;A412;140663458;
Vittoria;Grassi;A413;140664953;
Alessio;Greco;A414;140664955;
Vittoria;Guerra;A415;140664956;
Christian;Lombardo;A418;140664958;
Vittoria;Longo;A419;140664959;
Fabio;Marino;A424;140664960;
Vittoria;Martini;A421;140664962;
Federico;Martinelli;A422;140664964;
Vittoria;Mariani;A425;140664966;
Filippo;Mazzola;A427;140664968;
Vittoria;Mazzoli;A429;140664970;
Giacomo;Messina;A430;140664971;
Vittoria;Montagna;A431;140664973;
Giammaria;Montanari;A432;140664974;
Vittoria;Napolitano;A433;140664976;
Guglielmo;Pagano;A434;140672836;
Vittoria;Pellegrini;A435;140672844;
Mauro;Piazza;A437;140672846;
Vittoria;Pinto;A436;140672849;
Simone;Pugliese;A438;140672850;
Vittoria;Riva;A439;140672853;
Tiziano;Rizzi;A441;140674641;
Vittoria;Rizzo;A443;140674643;
Adriano;Romano;A444;140674645;
Vittoria;Rossetti;A445;140674648;
Alessandro;Ruggiero;A446;140674650;
Vittoria;Russo;A447;140674653;
Antonio;Sacco;A448;140674656;
Vittoria;Sartori;A449;140674658;
Augusto;Serra;A451;140674660;
Vittoria;Silvestri;A452;140674662;
Bruno;Sorrentino;A453;140674664;
Vittoria;Testa;A440;140674665;
Carlo;Valentini;A454;140675403;
Vittoria;Villa;A455;140675406;
Dario;Vitale;A458;140675407;
Vittoria;Amato;A459;140675408;
Edoardo;Barbieri;A460;140675410;
Vittoria;Basile;A461;140675411;
Enrico;Bernardi;A462;140675413;
Vittoria;Caputo;A463;140675415;
Ezio;Carbone;A464;140675416;
Vittoria;Conti;A465;140675418;
Fabio;Coppola;A467;140677032;
Vittoria;Damico;A466;140677033;
Federico;De Angelis;A470;140677034;
Vittoria;De Rosa;A471;140677036;
Filippo;De Luca;A473;140677038;
Vittoria;D'Angelo;A474;140677039;
Francesco;D'Amico;A475;140677041;
Vittoria;D'Amore;A476;140677042;
Franco;De Santis;A477;140677044;
Vittoria;Donati;A478;140677045;
Gabriele;Farina;A479;140712780;
Vittoria;Ferraro;A480;140712797;
Gennaro;Ferro;A481;140714373;
Vittoria;Fontana;A482;140714378;
Giacomo;Gallo;A484;140714379;
Vittoria;Gatti;A485;140714385;
Giampaolo;Giordano;A486;140719502;
Vittoria;Grassi;A487;140719504;
Giancarlo;Greco;A488;140719506;
Vittoria;Guerra;A489;140719507;
Gianfranco;Lombardo;A490;140719509;
Vittoria;Bianchi;A491;140719518;
Gianluca;Romano;A492;140719519;
Vittoria;Colombo;A494;140719520;
Gianmarco;Ricci;A495;140728124;
Vittoria;Marino;A496;140728125;
Gianmaria;Greco;A497;140728126;
Vittoria;Bruno;A499;140728127;
Gianpaolo;Gallo;A501;140728128;
Vittoria;Conti;A502;140728129;
Gianpiero;De Luca;A503;140728130;
Vittoria;Costa;A506;140728131;
Giorgio;Mancini;A507;140728132;
Vittoria;Rizzo;A508;140728133;
Giovanni;Lombardi;A509;140728660;
Vittoria;Moretti;A511;140728663;
Giuseppe;Barbieri;A512;140728664;
Vittoria;Fontana;A514;140731113;
Gregorio;Santoro;A515;140731116;
Vittoria;Mariani;A516;140731764;
Guido;Rinaldi;A517;140731765;
Vittoria;Ferrara;A518;140731770;
Iacopo;Martini;A519;140733269;
Vittoria;Leone;M258;140733273;
Italo;Gatti;A520;140733276;
Vittoria;Benedetti;A521;140733423;
Ivan;Sartori;A522;140739096;
Vittoria;Monti;A523;140740437;
Leonardo;Villa;A094;140740438;
Vittoria;Amato;A108;140740439;
Liberato;Marini;A525;140740441;
Vittoria;De Santis;A526;140740444;
Lorenzo;Palumbo;A527;140740448;
Vittoria;Bernardi;A530;140740449;
Luca;Fiore;A529;140742308;
Vittoria;Ferri;A528;140742309;
Luciano;Pellegrini;A531;140742312;
Vittoria;Damico;A532;140742316;
Marcello;Basile;A533;140742317;
Vittoria;Graziani;A534;140742318;
Marco;Rossetti;A535;140753602;
Vittoria;Palmieri;A536;140753603;
Mario;Donati;M214;140754043;
Vittoria;Battaglia;A540;140754044;
Massimiliano;Martino;A538;2073872;
Vittoria;Rizzi;A539;141270317;
Massimo;Neri;A541;141270318;
Vittoria;Vitale;A537;141270963;
Mauro;De Angelis;A542;141270965;
Vittoria;Serra;A544;141270967;
Michele;Coppola;A546;141270969;
Vittoria;Testa;A547;141270972;
Niccolò;Piazza;A552;141270973;
Vittoria;Ferraro;A551;141270975;
Nicola;Valentini;A550;141271703;
Vittoria;Bianchini;A553;141271704;
Orazio;Benedetti;A555;141271705;
Vittoria;Parisi;A557;141271706;
Ottavio;Sacco;A560;141271707;
Vittoria;De Rosa;A564;141271777;
Paolo;Ferretti;A565;141271778;
Vittoria;Morelli;A567;141271779;
Pasquale;Contini;A568;141271780;
Vittoria;Mazzoli;A566;141271781;
Piero;Rosati;A570;141516055;
Vittoria;De Luca;A572;141516057;
Pietro;Costa;A574;141516060;
Vittoria;Gallo;A573;141516061;
Raffaele;Santoro;A569;141516215;
Vittoria;Caputo;A571;141516216;
Raimondo;D'Angelo;A575;141516217;
Vittoria;Benedetto;A576;141516360;
Renato;Marchetti;A577;141516362;
Vittoria;D'Amico;A578;141516363;
Riccardo;Moretti;A579;141516364;
Vittoria;Silvestri;A580;141516724;
Roberto;Rinaldi;A584;141516725;
Vittoria;Montanari;A586;141516726;
Rocco;Caruso;A581;141516804;
Vittoria;Gatti;A587;141516805;
Rodolfo;Battaglia;A588;141516807;
Vittoria;Silvestri;A590;141517461;
Rocco;Palumbo;A589;141517558;
Vittoria;Fiore;A591;141517559;
Rolando;Sartori;A592;141517560;
Vittoria;Damico;A593;141517584;
Romano;Villa;A594;141517673;
Vittoria;Coppola;A597;141517674;
Romeo;Farina;A599;141517675;
Vittoria;Lombardo;A600;141517676;
Romualdo;De Santis;A601;141518049;
Vittoria;Bernardi;A603;142367576;
Rosario;Fiore;A604;142367577;
Vittoria;Mancini;A605;142367578;
Ruggero;Rizzo;A606;142367582;
Vittoria;Mariani;A607;142367583;
Salvatore;Carbone;A610;142367584;
Vittoria;Ruggiero;A612;142367587;
Samuele;Sorrentino;A613;142367861;
Vittoria;Ferro;A614;142367862;
Sandro;Fabbri;A615;142367863;
Vittoria;Rossi;A616;142367864;
Santino;Russo;A617;142370642;
Vittoria;Ferrari;A618;142371138;
Santo;Esposito;A619;142371722;
Vittoria;Bianchi;A621;142371725;
Sebastiano;Romano;A625;142371726;
Vittoria;Colombo;A626;142371728;
Secondo;Ricci;M401;142371815;
Vittoria;Marino;A628;142371816;
Sergio;Greco;A629;142371817;
Vittoria;Bruno;A630;142371818;
Silvano;Gallo;A631;142371819;
Vittoria;Conti;A632;142372521;
Silverio;De Luca;M408;142372522;
Vittoria;Costa;A634;142372523;
Siro;Mancini;A635;142372527;
Vittoria;Rizzo;A637;142372962;
Stefano;Lombardi;A638;142372964;
Vittoria;Moretti;A640;142372978;
Taddeo;Barbieri;A643;142373156;
Vittoria;Fontana;M433;142373157;
Terenzio;Santoro;A646;142373158;
Vittoria;Mariani;A647;142373159;
Tiberio;Rinaldi;A650;142373355;
Vittoria;Caruso;A651;142373356;
Tiburzio;Ferrara;A652;142373357;
Vittoria;Galli;A653;142373358;
Timoteo;Martini;A655;142373359;
Vittoria;Leone;A656;142373360;
Tito;Gatti;A657;142373639;
Vittoria;Bianco;A658;4225034;
Tommaso;Fabbri;A660;144880435;
Vittoria;Sartori;A661;144880436;
Tonino;Monti;A662;144880437;
Vittoria;Villa;A663;144880439;
Ubaldo;Amato;A664;144880545;
Vittoria;Marini;A665;144881001;
Uberto;De Santis;A666;144881002;
Vittoria;Palumbo;A667;144881330;
Ugo;Bernardi;A668;144881331;
Vittoria;Fiore;A669;144881332;
Ulisse;Farina;A670;144881333;
Vittoria;Ferri;A671;154819925;
Urbano;Pellegrini;A673;154867700;
Vittoria;Damico;A674;165403459;
Valentino;Basile;A676;165403461;
Vittoria;Rossetti;A677;165403472;
Valerio;Graziani;A678;165403480;
Vittoria;Palmieri;A681;165439753;
Vanni;Donati;A683;173053641;
Vittoria;Battaglia;A684;173053642;
Vincenzo;Martino;A686;173053644;
Vittoria;Rizzi;A687;173053645;
Vitale;Neri;A689;173053771;
Vittoria;Vitale;A690;178679002;
Vittorio;De Angelis;A691;178679005;
Vittoria;Serra;A692;178679008;
Vittore;Coppola;A694;178679010;
Vittoria;Testa;A696;178679011;
Zaccheo;Piazza;A697;178679013;
Vittoria;Ferraro;A698;180623094;
Zaccaria;Valentini;A699;180623095;
Vittoria;Bianchini;A700;180623096;
Mario;Benedetti;A702;180623981;
Sofia;Parisi;A703;180987551;
Francesco;Sacco;A706;180987552;
Giulia;De Rosa;A704;180987553;
Leonardo;Ferretti;A707;180987554;
Chiara;Morelli;A708;180987555;
Luca;Russo;A709;180987557;
Martina;Contini;A710;180987559;
Lorenzo;Mazzoli;A712;180987562;
Aurora;Colombo;A713;180987564;
Andrea;Mancini;A714;180989575;
Alice;Rosati;A716;180989576;
Matteo;De Luca;A717;180989577;
Emma;Costa;A718;180989578;
