,nome,cognome,nascita,osm_id,Unnamed: 4,data_nascita,c_nome,c_cognome,anno_nascita,mese_nascita,genere,giorno_nascita,num_giorno,cod_fisc,num,year_built,total_floors
0,Mario,Rossi,A001,14261499,,2001-04-10 21:17:17.098038,MR,RSS,01,D,0,10,10,RSSMR01D10A001,75,1909,8
1,Francesco,Ferrari,A004,22736136,,1999-02-11 21:17:17.098038,FRNCSC,FRRR,99,B,40,11,51,FRRRFRNCSC99B51A004,37,1908,8
2,Giulia,Esposito,A005,22736137,,1970-11-18 21:17:17.098038,GL,SPST,70,S,0,18,18,SPSTGL70S18A005,8,1905,6
3,Leonardo,Bianchi,A006,22736138,,1967-01-04 21:17:17.098038,LNRD,BNCH,67,A,0,4,4,BNCHLNRD67A4A006,37,1915,6
4,Chiara,Romano,A007,22736139,,1981-09-19 21:17:17.098038,CHR,RMN,81,P,40,19,59,RMNCHR81P59A007,84,1926,5
5,Luca,Colombo,A008,23154089,,1994-03-05 21:17:17.098038,LC,CLMB,94,C,40,5,45,CLMBLC94C45A008,31,1935,8
6,Martina,Ricci,A010,25332896,,1981-06-18 21:17:17.098038,MRTN,RCC,81,H,0,18,18,RCCMRTN81H18A010,31,1915,9
7,Lorenzo,Marino,M376,25332965,,1986-09-29 21:17:17.098038,LRNZ,MRN,86,P,0,29,29,MRNLRNZ86P29M376,52,1986,9
8,Aurora,Greco,A013,25332966,,1978-03-12 21:17:17.098038,RR,GRC,78,C,40,12,52,GRCRR78C52A013,58,1916,4
9,Andrea,Bruno,A014,25333121,,1984-06-20 21:17:17.098038,NDR,BRN,84,H,40,20,60,BRNNDR84H60A014,25,1985,9
10,Alice,Gallo,A015,25894577,,1964-01-16 21:17:17.098038,LC,GLL,64,A,0,16,16,GLLLC64A16A015,39,1925,5
11,Matteo,Conti,A016,25941770,,1979-02-01 21:17:17.098038,MTT,CNT,79,B,0,1,1,CNTMTT79B1A016,98,2018,4
12,Emma,De Luca,A017,26273153,,1991-07-30 21:17:17.098038,MM,DLC,91,L,0,30,30,DLCMM91L30A017,28,2017,5
13,Gabriele,Costa,A018,26433713,,1984-03-24 21:17:17.098038,GBRL,CST,84,C,0,24,24,CSTGBRL84C24A018,81,1930,7
14,Greta,Mancini,A019,27654509,,1992-08-05 21:17:17.098038,GRT,MNCN,92,M,0,5,5,MNCNGRT92M5A019,93,1941,7
15,Alessandro,Rizzo,A020,27655307,,1990-11-30 21:17:17.098038,LSSNDR,RZZ,90,S,40,30,70,RZZLSSNDR90S70A020,67,1973,3
16,Giorgia,Lombardi,A023,31029911,,1973-11-13 21:17:17.098038,GRG,LMBRD,73,S,40,13,53,LMBRDGRG73S53A023,13,1975,3
17,Giuseppe,Moretti,A024,38558925,,2003-04-11 21:17:17.098038,GSPP,MRTT,03,D,0,11,11,MRTTGSPP03D11A024,76,1916,7
18,Valentina,Barbieri,A025,41956450,,1974-02-23 21:17:17.098038,VLNTN,BRBR,74,B,0,23,23,BRBRVLNTN74B23A025,74,1927,7
19,Edoardo,Fontana,A026,41963283,,1977-10-27 21:17:17.098038,DRD,FNTN,77,R,0,27,27,FNTNDRD77R27A026,18,2002,3
20,Elena,Santoro,A027,41963284,,1993-09-08 21:17:17.098038,LN,SNTR,93,P,0,8,8,SNTRLN93P8A027,60,1967,3
21,Giovanni,Mariani,A029,41963285,,1967-09-30 21:17:17.098038,GVNN,MRN,67,P,40,30,70,MRNGVNN67P70A029,16,1927,1
22,Beatrice,Rinaldi,A028,41963286,,1964-02-10 21:17:17.098038,BTRC,RNLD,64,B,40,10,50,RNLDBTRC64B50A028,57,1970,2
23,Davide,Caruso,A032,41963287,,1968-01-18 21:17:17.098038,DVD,CRS,68,A,0,18,18,CRSDVD68A18A032,35,1901,2
24,Giuliana,Ferrara,A033,41963288,,2001-02-28 21:17:17.098038,GLN,FRRR,01,B,40,28,68,FRRRGLN01B68A033,46,1987,9
25,Federico,Galli,A034,59243220,,2003-10-10 21:17:17.098038,FDRC,GLL,03,R,40,10,50,GLLFDRC03R50A034,5,1917,9
26,Sara,Martini,A035,74171820,,1988-09-21 21:17:17.098038,SR,MRTN,88,P,0,21,21,MRTNSR88P21A035,92,2010,2
27,Alessio,Leone,A039,74171822,,1989-09-06 21:17:17.098038,LSS,LN,89,P,40,6,46,LNLSS89P46A039,20,1907,6
28,Eleonora,Gatti,A038,74171824,,2000-03-31 21:17:17.098038,LNR,GTT,00,C,0,31,31,GTTLNR00C31A038,88,1941,8
29,Antonio,Bianco,A040,74171825,,1989-10-19 21:17:17.098038,NTN,BNC,89,R,40,19,59,BNCNTN89R59A040,80,1964,5
30,Vittoria,Fabbri,A041,76095500,,1975-08-06 21:17:17.098038,VTTR,FBBR,75,M,0,6,6,FBBRVTTR75M6A041,81,1966,9
31,Tommaso,Sartori,A043,76095504,,1980-12-01 21:17:17.098038,TMMS,SRTR,80,T,0,1,1,SRTRTMMS80T1A043,33,1933,2
32,Francesca,Monti,A044,76095506,,1993-01-24 21:17:17.098038,FRNCSC,MNT,93,A,0,24,24,MNTFRNCSC93A24A044,52,1964,4
33,Simone,Villa,A045,76095508,,1981-06-07 21:17:17.098038,SMN,VLL,81,H,40,7,47,VLLSMN81H47A045,34,1979,7
34,Carolina,Amato,A050,76095509,,2001-09-18 21:17:17.098038,CRLN,MT,01,P,40,18,58,MTCRLN01P58A050,54,1950,8
35,Marco,Marini,A051,76095510,,1969-01-04 21:17:17.098038,MRC,MRN,69,A,0,4,4,MRNMRC69A4A051,3,1918,3
36,Chiaretta,De Santis,A048,76095511,,1978-11-20 21:17:17.098038,CHRTT,DSNTS,78,S,0,20,20,DSNTSCHRTT78S20A048,98,2015,6
37,Filippo,Palumbo,A047,76095512,,1987-12-24 21:17:17.098038,FLPP,PLMB,87,T,0,24,24,PLMBFLPP87T24A047,43,1943,8
38,Teresa,Bernardi,A049,76095513,,1981-03-22 21:17:17.098038,TRS,BRNRD,81,C,0,22,22,BRNRDTRS81C22A049,37,1918,8
39,Michele,Fiore,M211,76123863,,1984-10-03 21:17:17.098038,MCHL,FR,84,R,0,3,3,FRMCHL84R3M211,59,2018,3
40,Angelica,Farina,A052,76123864,,1989-06-12 21:17:17.098038,NGLC,FRN,89,H,0,12,12,FRNNGLC89H12A052,14,1913,5
41,Mattia,Ferri,A053,76123867,,1990-10-14 21:17:17.098038,MTT,FRR,90,R,0,14,14,FRRMTT90R14A053,86,1909,1
42,Caterina,Pellegrini,A054,76123869,,2004-12-19 21:17:17.098038,CTRN,PLLGRN,04,T,40,19,59,PLLGRNCTRN04T59A054,99,1959,3
43,Stefano,Damico,A055,76123870,,1994-10-18 21:17:17.098038,STFN,DMC,94,R,40,18,58,DMCSTFN94R58A055,25,1902,6
44,Ludovica,Basile,A056,76123873,,1972-11-24 21:17:17.098038,LDVC,BSL,72,S,0,24,24,BSLLDVC72S24A056,93,1936,7
45,Christian,Rossetti,A057,76123874,,2005-01-17 21:17:17.098038,CHRSTN,RSSTT,05,A,40,17,57,RSSTTCHRSTN05A57A057,55,1914,5
46,Irene,Graziani,A058,76123879,,1996-12-05 21:17:17.098038,RN,GRZN,96,T,0,5,5,GRZNRN96T5A058,82,2011,8
47,Niccolò,Palmieri,A059,76123885,,1974-04-10 21:17:17.098038,NCCL,PLMR,74,D,40,10,50,PLMRNCCL74D50A059,98,1909,9
48,Rebecca,Donati,A060,76123887,,1994-02-11 21:17:17.098038,RBCC,DNT,94,B,0,11,11,DNTRBCC94B11A060,1,1942,1
49,Raffaele,Battaglia,A061,76123889,,1990-04-14 21:17:17.098038,RFFL,BTTGL,90,D,0,14,14,BTTGLRFFL90D14A061,52,1921,6
50,Elisa,Martino,A062,76123893,,1979-11-18 21:17:17.098038,LS,MRTN,79,S,0,18,18,MRTNLS79S18A062,37,1953,4
51,Daniele,Rizzi,A064,76123897,,2003-01-22 21:17:17.098038,DNL,RZZ,03,A,40,22,62,RZZDNL03A62A064,56,1900,6
52,Veronica,Neri,A065,76123900,,1981-08-02 21:17:17.098038,VRNC,NR,81,M,0,2,2,NRVRNC81M2A065,57,1947,3
53,Fabio,Vitale,A067,76123902,,1985-10-06 21:17:17.098038,FB,VTL,85,R,0,6,6,VTLFB85R6A067,8,1906,2
54,Gloria,De Angelis,A068,76131018,,1965-12-03 21:17:17.098038,GLR,DNGLS,65,T,0,3,3,DNGLSGLR65T3A068,14,1902,5
55,Paolo,Serra,A069,76131019,,1990-04-27 21:17:17.098038,PL,SRR,90,D,0,27,27,SRRPL90D27A069,62,1989,6
56,Benedetta,Coppola,A070,76953925,,1980-01-29 21:17:17.098038,BNDTT,CPPL,80,A,0,29,29,CPPLBNDTT80A29A070,93,1942,4
57,Enrico,Testa,A071,77385830,,1967-02-18 21:17:17.098038,NRC,TST,67,B,40,18,58,TSTNRC67B58A071,75,2008,1
58,Adelaide,Piazza,A072,77753684,,1994-04-19 21:17:17.098038,DLD,PZZ,94,D,40,19,59,PZZDLD94D59A072,25,1979,4
59,Manuel,Ferraro,A074,77753686,,1970-07-22 21:17:17.098038,MNL,FRRR,70,L,40,22,62,FRRRMNL70L62A074,6,1989,1
60,Rosanna,Valentini,H848,77753687,,1987-08-02 21:17:17.098038,RSNN,VLNTN,87,M,40,2,42,VLNTNRSNN87M42H848,35,1923,7
